Index,A,B,R
0,143,143,0
1,150,150,0
2,85,85,0
3,155,155,0
4,56,56,0
5,67,67,0
6,111,111,0
7,140,140,0
8,115,115,0
9,135,135,0
10,179,179,0
11,190,190,0
12,69,69,0
13,144,144,0
14,9,9,0
15,233,233,0
16,207,207,0
17,215,215,0
18,124,124,0
19,71,71,0
20,27,27,0
21,25,25,0
22,40,40,0
23,94,94,0
24,185,185,0
25,202,202,0
26,11,11,0
27,180,180,0
28,168,168,0
29,55,55,0
30,55,55,0
31,96,96,0
32,180,180,0
33,231,231,0
34,45,45,0
35,141,141,0
36,240,240,0
37,13,13,0
38,253,253,0
39,219,219,0
40,211,211,0
41,177,177,0
42,88,88,0
43,90,90,0
44,222,222,0
45,122,122,0
46,100,100,0
47,236,236,0
48,193,193,0
49,78,78,0
50,231,231,0
51,182,182,0
52,32,32,0
53,85,85,0
54,206,206,0
55,11,11,0
56,192,192,0
57,212,212,0
58,5,5,0
59,85,85,0
60,165,165,0
61,200,200,0
62,95,95,0
63,210,210,0
64,73,73,0
65,251,251,0
66,234,234,0
67,231,231,0
68,90,90,0
69,195,195,0
70,134,134,0
71,204,204,0
72,157,157,0
73,151,151,0
74,86,86,0
75,155,155,0
76,13,13,0
77,161,161,0
78,117,117,0
79,37,37,0
80,199,199,0
81,79,79,0
82,191,191,0
83,251,251,0
84,31,31,0
85,97,97,0
86,21,21,0
87,101,101,0
88,40,40,0
89,180,180,0
90,172,172,0
91,251,251,0
92,144,144,0
93,158,158,0
94,151,151,0
95,203,203,0
96,235,235,0
97,111,111,0
98,147,147,0
99,166,166,0
100,138,138,0
101,251,251,0
102,235,235,0
103,47,47,0
104,9,9,0
105,181,181,0
106,112,112,0
107,44,44,0
108,120,120,0
109,150,150,0
110,229,229,0
111,133,133,0
112,44,44,0
113,104,104,0
114,104,104,0
115,37,37,0
116,12,12,0
117,143,143,0
118,63,63,0
119,77,77,0
120,35,35,0
121,187,187,0
122,51,51,0
123,31,31,0
124,153,153,0
125,119,119,0
126,86,86,0
127,98,98,0
128,242,242,0
129,182,182,0
130,7,7,0
131,225,225,0
132,175,175,0
133,129,129,0
134,98,98,0
135,148,148,0
136,151,151,0
137,206,206,0
138,137,137,0
139,178,178,0
140,164,164,0
141,145,145,0
142,124,124,0
143,43,43,0
144,92,92,0
145,27,27,0
146,38,38,0
147,17,17,0
148,158,158,0
149,170,170,0
150,45,45,0
151,185,185,0
152,0,0,0
153,210,210,0
154,200,200,0
155,102,102,0
156,93,93,0
157,24,24,0
158,150,150,0
159,175,175,0
160,19,19,0
161,180,180,0
162,62,62,0
163,38,38,0
164,147,147,0
165,160,160,0
166,244,244,0
167,22,22,0
168,135,135,0
169,91,91,0
170,9,9,0
171,134,134,0
172,243,243,0
173,213,213,0
174,131,131,0
175,176,176,0
176,30,30,0
177,184,184,0
178,19,19,0
179,3,3,0
180,218,218,0
181,93,93,0
182,253,253,0
183,252,252,0
184,57,57,0
185,193,193,0
186,67,67,0
187,70,70,0
