Index,A,B,R
0,110,110,0
1,8,8,0
2,206,206,0
3,121,121,0
4,178,178,0
5,154,154,0
6,45,45,0
7,185,185,0
8,66,66,0
9,40,40,0
10,200,200,0
11,154,154,0
12,176,176,0
13,29,29,0
14,200,200,0
15,48,48,0
16,211,211,0
17,149,149,0
18,100,100,0
19,88,88,0
20,231,231,0
21,182,182,0
22,34,34,0
23,191,191,0
24,217,217,0
25,182,182,0
26,212,212,0
27,140,140,0
28,120,120,0
29,192,192,0
30,18,18,0
31,219,219,0
32,215,215,0
33,156,156,0
34,240,240,0
35,186,186,0
36,100,100,0
37,83,83,0
38,226,226,0
39,57,57,0
40,224,224,0
41,129,129,0
42,105,105,0
43,244,244,0
44,251,251,0
45,69,69,0
46,217,217,0
47,85,85,0
48,170,170,0
49,8,8,0
50,16,16,0
51,124,124,0
52,86,86,0
53,19,19,0
54,127,127,0
55,126,126,0
56,109,109,0
57,238,238,0
58,73,73,0
59,188,188,0
60,132,132,0
61,24,24,0
62,208,208,0
63,97,97,0
64,28,28,0
65,251,251,0
66,50,50,0
67,86,86,0
68,236,236,0
69,99,99,0
70,56,56,0
71,238,238,0
72,61,61,0
73,103,103,0
74,60,60,0
75,52,52,0
76,166,166,0
77,136,136,0
78,196,196,0
79,85,85,0
80,120,120,0
81,100,100,0
82,210,210,0
83,208,208,0
84,131,131,0
85,1,1,0
86,99,99,0
87,122,122,0
88,167,167,0
89,26,26,0
90,196,196,0
91,214,214,0
92,144,144,0
93,85,85,0
94,184,184,0
95,84,84,0
96,159,159,0
97,131,131,0
98,60,60,0
99,123,123,0
100,70,70,0
101,223,223,0
102,219,219,0
103,74,74,0
104,27,27,0
105,230,230,0
106,121,121,0
107,36,36,0
108,54,54,0
109,110,110,0
110,254,254,0
111,244,244,0
112,229,229,0
113,238,238,0
114,106,106,0
115,183,183,0
116,68,68,0
117,81,81,0
118,13,13,0
119,168,168,0
120,43,43,0
121,205,205,0
122,32,32,0
123,38,38,0
124,191,191,0
125,117,117,0
126,251,251,0
127,84,84,0
128,51,51,0
129,137,137,0
130,2,2,0
131,127,127,0
132,80,80,0
133,118,118,0
134,74,74,0
135,178,178,0
136,28,28,0
137,2,2,0
138,52,52,0
139,6,6,0
