Index,A,B,R
0,198,198,0
1,51,51,0
2,215,215,0
3,87,87,0
4,125,125,0
5,44,44,0
6,194,194,0
7,38,38,0
8,169,169,0
9,171,171,0
10,144,144,0
11,28,28,0
12,58,58,0
13,130,130,0
14,57,57,0
15,189,189,0
16,154,154,0
17,244,244,0
18,142,142,0
19,143,143,0
20,167,167,0
21,2,2,0
22,241,241,0
23,54,54,0
24,159,159,0
25,238,238,0
26,138,138,0
27,130,130,0
28,243,243,0
29,214,214,0
30,74,74,0
31,149,149,0
32,82,82,0
33,15,15,0
34,239,239,0
35,31,31,0
36,201,201,0
37,22,22,0
38,65,65,0
39,235,235,0
40,183,183,0
41,31,31,0
42,211,211,0
43,10,10,0
44,143,143,0
45,246,246,0
46,251,251,0
47,16,16,0
48,104,104,0
49,41,41,0
50,196,196,0
51,169,169,0
52,182,182,0
53,25,25,0
54,205,205,0
55,148,148,0
56,35,35,0
57,182,182,0
58,127,127,0
59,218,218,0
60,159,159,0
61,130,130,0
62,184,184,0
63,203,203,0
64,228,228,0
65,34,34,0
66,116,116,0
67,169,169,0
68,166,166,0
69,174,174,0
70,14,14,0
71,204,204,0
72,240,240,0
73,60,60,0
74,200,200,0
75,221,221,0
76,47,47,0
77,215,215,0
78,132,132,0
79,203,203,0
80,167,167,0
81,207,207,0
82,3,3,0
83,33,33,0
84,127,127,0
85,37,37,0
86,66,66,0
87,44,44,0
88,56,56,0
89,53,53,0
90,91,91,0
91,44,44,0
92,158,158,0
93,58,58,0
94,219,219,0
95,120,120,0
96,134,134,0
97,105,105,0
98,38,38,0
99,48,48,0
100,200,200,0
101,222,222,0
102,71,71,0
103,53,53,0
104,5,5,0
105,234,234,0
106,128,128,0
107,223,223,0
108,30,30,0
109,199,199,0
110,246,246,0
111,223,223,0
112,184,184,0
113,0,0,0
114,87,87,0
115,143,143,0
116,115,115,0
117,2,2,0
118,252,252,0
119,152,152,0
120,178,178,0
121,33,33,0
122,255,255,0
123,243,243,0
124,170,170,0
125,95,95,0
126,52,52,0
127,190,190,0
128,225,225,0
129,243,243,0
130,84,84,0
131,102,102,0
132,228,228,0
133,73,73,0
134,17,17,0
135,151,151,0
136,3,3,0
137,241,241,0
138,42,42,0
139,242,242,0
140,238,238,0
141,153,153,0
142,151,151,0
143,59,59,0
144,253,253,0
145,226,226,0
146,215,215,0
147,230,230,0
148,16,16,0
149,186,186,0
150,246,246,0
151,78,78,0
152,174,174,0
153,20,20,0
154,58,58,0
155,171,171,0
156,138,138,0
157,184,184,0
158,204,204,0
159,120,120,0
160,199,199,0
161,47,47,0
162,181,181,0
163,106,106,0
164,227,227,0
165,139,139,0
166,178,178,0
167,182,182,0
168,189,189,0
169,29,29,0
170,99,99,0
171,67,67,0
172,222,222,0
173,198,198,0
174,84,84,0
175,160,160,0
176,32,32,0
177,105,105,0
178,130,130,0
179,234,234,0
180,145,145,0
181,102,102,0
182,64,64,0
183,224,224,0
184,8,8,0
185,232,232,0
186,3,3,0
187,245,245,0
188,76,76,0
189,175,175,0
190,243,243,0
191,27,27,0
192,9,9,0
193,188,188,0
194,10,10,0
195,70,70,0
196,38,38,0
197,136,136,0
198,124,124,0
199,113,113,0
200,1,1,0
201,77,77,0
202,84,84,0
203,124,124,0
204,145,145,0
205,236,236,0
206,65,65,0
207,224,224,0
208,195,195,0
209,183,183,0
210,37,37,0
211,203,203,0
212,30,30,0
213,145,145,0
214,55,55,0
215,17,17,0
216,222,222,0
217,134,134,0
218,69,69,0
219,95,95,0
220,111,111,0
221,75,75,0
222,140,140,0
223,44,44,0
224,173,173,0
225,26,26,0
226,210,210,0
227,189,189,0
228,78,78,0
229,100,100,0
230,214,214,0
231,207,207,0
232,232,232,0
233,4,4,0
234,21,21,0
235,149,149,0
236,154,154,0
237,115,115,0
238,43,43,0
239,130,130,0
240,246,246,0
241,34,34,0
242,154,154,0
243,52,52,0
244,106,106,0
245,123,123,0
246,6,6,0
247,103,103,0
248,104,104,0
249,37,37,0
250,205,205,0
251,157,157,0
252,185,185,0
253,6,6,0
254,111,111,0
255,50,50,0
256,245,245,0
257,251,251,0
258,242,242,0
259,2,2,0
260,94,94,0
261,128,128,0
262,221,221,0
263,113,113,0
264,127,127,0
265,88,88,0
266,177,177,0
267,255,255,0
268,170,170,0
269,84,84,0
270,242,242,0
271,28,28,0
272,122,122,0
273,78,78,0
274,61,61,0
275,83,83,0
276,33,33,0
