Index,A,B,R
0,207,207,0
1,92,92,0
2,220,220,0
3,243,243,0
4,231,231,0
5,155,155,0
6,108,108,0
7,161,161,0
8,55,55,0
9,104,104,0
10,28,28,0
11,54,54,0
12,214,214,0
13,24,24,0
14,41,41,0
15,169,169,0
16,92,92,0
17,117,117,0
18,193,193,0
19,2,2,0
20,91,91,0
21,114,114,0
22,46,46,0
23,183,183,0
24,132,132,0
25,222,222,0
26,188,188,0
27,14,14,0
28,110,110,0
29,109,109,0
30,210,210,0
31,83,83,0
32,53,53,0
33,96,96,0
34,179,179,0
35,81,81,0
36,229,229,0
37,193,193,0
38,203,203,0
39,224,224,0
40,152,152,0
41,101,101,0
42,16,16,0
43,188,188,0
44,2,2,0
45,80,80,0
46,248,248,0
47,160,160,0
48,192,192,0
49,253,253,0
50,45,45,0
51,151,151,0
52,52,52,0
53,214,214,0
54,139,139,0
55,188,188,0
56,5,5,0
57,214,214,0
58,75,75,0
59,236,236,0
60,205,205,0
61,29,29,0
62,139,139,0
63,243,243,0
64,77,77,0
65,73,73,0
66,5,5,0
67,144,144,0
68,195,195,0
69,52,52,0
70,33,33,0
71,94,94,0
72,205,205,0
73,237,237,0
74,224,224,0
75,136,136,0
76,30,30,0
77,36,36,0
78,195,195,0
79,230,230,0
80,175,175,0
81,176,176,0
82,122,122,0
83,222,222,0
84,23,23,0
85,82,82,0
86,192,192,0
87,251,251,0
88,246,246,0
89,236,236,0
90,109,109,0
91,214,214,0
92,231,231,0
93,238,238,0
94,243,243,0
95,141,141,0
96,255,255,0
97,161,161,0
98,20,20,0
99,71,71,0
100,13,13,0
101,150,150,0
102,238,238,0
103,201,201,0
104,108,108,0
105,31,31,0
106,130,130,0
107,115,115,0
108,230,230,0
109,72,72,0
110,68,68,0
111,80,80,0
112,213,213,0
113,6,6,0
114,124,124,0
115,138,138,0
116,138,138,0
117,4,4,0
118,255,255,0
119,59,59,0
120,112,112,0
121,180,180,0
122,151,151,0
123,159,159,0
124,8,8,0
125,20,20,0
126,235,235,0
127,122,122,0
128,46,46,0
129,153,153,0
130,104,104,0
131,223,223,0
132,64,64,0
133,216,216,0
134,143,143,0
135,98,98,0
136,227,227,0
137,211,211,0
138,245,245,0
139,2,2,0
140,225,225,0
141,254,254,0
142,175,175,0
143,48,48,0
144,138,138,0
145,226,226,0
146,207,207,0
147,205,205,0
148,119,119,0
149,77,77,0
150,180,180,0
151,135,135,0
152,195,195,0
153,185,185,0
154,249,249,0
155,54,54,0
156,139,139,0
157,198,198,0
158,237,237,0
159,80,80,0
160,44,44,0
161,120,120,0
162,1,1,0
163,180,180,0
164,175,175,0
165,43,43,0
166,162,162,0
167,147,147,0
168,65,65,0
169,223,223,0
170,40,40,0
171,192,192,0
172,249,249,0
173,163,163,0
174,231,231,0
175,124,124,0
176,149,149,0
177,134,134,0
178,254,254,0
179,144,144,0
180,212,212,0
181,196,196,0
182,200,200,0
183,144,144,0
184,104,104,0
185,254,254,0
186,202,202,0
187,216,216,0
188,51,51,0
189,189,189,0
190,107,107,0
191,34,34,0
192,46,46,0
193,184,184,0
194,130,130,0
195,75,75,0
196,70,70,0
197,45,45,0
198,104,104,0
199,161,161,0
200,77,77,0
201,24,24,0
202,93,93,0
203,9,9,0
204,55,55,0
205,208,208,0
206,159,159,0
207,64,64,0
208,184,184,0
209,203,203,0
210,26,26,0
211,231,231,0
212,5,5,0
213,200,200,0
214,131,131,0
215,25,25,0
216,14,14,0
217,128,128,0
218,166,166,0
219,31,31,0
220,0,0,0
221,90,90,0
222,129,129,0
223,89,89,0
224,19,19,0
225,110,110,0
226,231,231,0
227,187,187,0
228,94,94,0
229,168,168,0
230,39,39,0
231,148,148,0
232,132,132,0
233,133,133,0
234,17,17,0
235,225,225,0
236,217,217,0
237,174,174,0
238,112,112,0
239,40,40,0
240,146,146,0
241,254,254,0
242,3,3,0
243,236,236,0
244,222,222,0
245,225,225,0
246,139,139,0
247,139,139,0
248,18,18,0
249,22,22,0
250,77,77,0
251,142,142,0
252,111,111,0
253,203,203,0
254,215,215,0
255,233,233,0
256,153,153,0
257,1,1,0
258,83,83,0
259,13,13,0
260,56,56,0
261,240,240,0
262,154,154,0
263,148,148,0
264,106,106,0
265,202,202,0
266,147,147,0
267,131,131,0
268,56,56,0
269,234,234,0
270,171,171,0
271,61,61,0
272,55,55,0
273,83,83,0
274,160,160,0
275,71,71,0
276,113,113,0
277,220,220,0
278,222,222,0
279,247,247,0
280,100,100,0
281,33,33,0
282,152,152,0
283,209,209,0
284,141,141,0
285,112,112,0
286,29,29,0
287,47,47,0
288,144,144,0
289,136,136,0
290,14,14,0
291,37,37,0
292,179,179,0
293,120,120,0
294,30,30,0
295,152,152,0
296,185,185,0
297,97,97,0
298,29,29,0
299,190,190,0
300,132,132,0
301,60,60,0
302,193,193,0
303,217,217,0
304,22,22,0
305,19,19,0
306,34,34,0
307,23,23,0
308,9,9,0
309,106,106,0
310,95,95,0
311,91,91,0
312,29,29,0
313,221,221,0
314,184,184,0
315,49,49,0
316,174,174,0
317,213,213,0
318,169,169,0
319,145,145,0
320,62,62,0
321,20,20,0
322,208,208,0
323,80,80,0
324,17,17,0
325,227,227,0
326,177,177,0
327,209,209,0
328,54,54,0
329,62,62,0
330,9,9,0
331,206,206,0
332,199,199,0
333,26,26,0
334,241,241,0
335,135,135,0
336,12,12,0
337,155,155,0
338,226,226,0
339,223,223,0
340,115,115,0
341,158,158,0
342,223,223,0
343,113,113,0
344,203,203,0
345,38,38,0
346,72,72,0
347,161,161,0
348,76,76,0
349,35,35,0
350,27,27,0
351,195,195,0
