Index,A,B,R
0,230,230,0
1,95,95,0
2,251,251,0
3,146,146,0
4,207,207,0
5,210,210,0
6,73,73,0
7,144,144,0
8,172,172,0
9,21,21,0
10,231,231,0
11,65,65,0
12,72,72,0
13,253,253,0
14,227,227,0
15,176,176,0
16,95,95,0
17,197,197,0
18,251,251,0
19,107,107,0
20,200,200,0
21,137,137,0
22,139,139,0
23,184,184,0
24,252,252,0
25,201,201,0
26,245,245,0
27,10,10,0
28,195,195,0
29,240,240,0
30,208,208,0
31,0,0,0
32,191,191,0
33,38,38,0
34,135,135,0
35,148,148,0
36,33,33,0
37,206,206,0
38,158,158,0
39,54,54,0
40,87,87,0
41,51,51,0
42,220,220,0
43,75,75,0
44,15,15,0
45,53,53,0
46,6,6,0
47,19,19,0
48,100,100,0
49,172,172,0
50,57,57,0
51,113,113,0
52,92,92,0
53,72,72,0
54,229,229,0
55,186,186,0
56,186,186,0
57,140,140,0
58,65,65,0
59,253,253,0
60,85,85,0
61,164,164,0
62,91,91,0
63,20,20,0
64,143,143,0
65,169,169,0
66,90,90,0
67,6,6,0
68,75,75,0
69,18,18,0
70,117,117,0
71,100,100,0
72,146,146,0
73,236,236,0
74,64,64,0
75,19,19,0
76,104,104,0
77,39,39,0
78,125,125,0
79,61,61,0
80,169,169,0
81,142,142,0
82,212,212,0
83,156,156,0
84,125,125,0
85,202,202,0
86,71,71,0
87,133,133,0
88,217,217,0
89,251,251,0
90,168,168,0
91,200,200,0
92,223,223,0
93,72,72,0
94,83,83,0
95,239,239,0
96,13,13,0
97,108,108,0
98,120,120,0
99,217,217,0
100,62,62,0
101,201,201,0
102,139,139,0
103,90,90,0
104,48,48,0
105,184,184,0
106,117,117,0
107,127,127,0
108,226,226,0
109,236,236,0
110,66,66,0
111,206,206,0
112,96,96,0
113,117,117,0
114,179,179,0
115,252,252,0
116,200,200,0
117,223,223,0
118,98,98,0
119,90,90,0
120,170,170,0
121,104,104,0
122,64,64,0
123,59,59,0
124,68,68,0
125,81,81,0
126,1,1,0
127,203,203,0
128,61,61,0
129,226,226,0
130,68,68,0
131,224,224,0
132,176,176,0
133,208,208,0
134,198,198,0
135,39,39,0
136,136,136,0
137,238,238,0
138,162,162,0
139,100,100,0
140,20,20,0
141,37,37,0
142,20,20,0
143,9,9,0
144,181,181,0
145,50,50,0
146,222,222,0
147,109,109,0
148,196,196,0
149,9,9,0
150,188,188,0
151,107,107,0
152,132,132,0
153,38,38,0
154,221,221,0
155,154,154,0
156,45,45,0
157,5,5,0
158,221,221,0
159,216,216,0
160,191,191,0
161,159,159,0
162,234,234,0
163,180,180,0
164,103,103,0
165,146,146,0
166,32,32,0
167,6,6,0
168,89,89,0
169,211,211,0
170,249,249,0
171,40,40,0
172,149,149,0
173,80,80,0
174,6,6,0
175,218,218,0
176,156,156,0
177,113,113,0
178,17,17,0
179,28,28,0
180,108,108,0
181,141,141,0
182,217,217,0
183,15,15,0
184,191,191,0
185,233,233,0
186,113,113,0
187,206,206,0
188,112,112,0
189,161,161,0
190,236,236,0
191,21,21,0
192,108,108,0
193,224,224,0
194,18,18,0
195,241,241,0
196,46,46,0
197,36,36,0
198,44,44,0
199,107,107,0
200,160,160,0
201,4,4,0
202,50,50,0
203,225,225,0
204,226,226,0
205,4,4,0
206,64,64,0
207,40,40,0
208,212,212,0
209,38,38,0
210,82,82,0
211,106,106,0
212,141,141,0
213,26,26,0
