Index,A,B,R
0,1,1,0
1,34,34,0
2,223,223,0
3,152,152,0
4,5,5,0
5,35,35,0
6,114,114,0
7,160,160,0
8,208,208,0
9,100,100,0
10,62,62,0
11,246,246,0
12,78,78,0
13,105,105,0
14,47,47,0
15,30,30,0
16,41,41,0
17,97,97,0
18,186,186,0
19,136,136,0
20,247,247,0
21,67,67,0
22,95,95,0
23,11,11,0
24,180,180,0
25,232,232,0
26,236,236,0
27,12,12,0
28,25,25,0
29,228,228,0
30,192,192,0
31,91,91,0
32,96,96,0
33,89,89,0
34,237,237,0
35,99,99,0
36,219,219,0
37,99,99,0
38,131,131,0
39,248,248,0
40,34,34,0
41,166,166,0
42,110,110,0
43,145,145,0
44,141,141,0
45,149,149,0
46,6,6,0
47,31,31,0
48,186,186,0
49,22,22,0
50,126,126,0
51,58,58,0
52,99,99,0
53,221,221,0
54,197,197,0
55,144,144,0
56,93,93,0
57,40,40,0
58,56,56,0
59,216,216,0
60,49,49,0
61,177,177,0
62,156,156,0
63,201,201,0
64,251,251,0
65,164,164,0
66,96,96,0
67,229,229,0
68,175,175,0
69,7,7,0
70,211,211,0
71,82,82,0
72,9,9,0
73,134,134,0
74,27,27,0
75,75,75,0
76,91,91,0
77,146,146,0
78,199,199,0
79,208,208,0
80,11,11,0
81,243,243,0
82,142,142,0
83,112,112,0
84,232,232,0
85,184,184,0
86,47,47,0
87,116,116,0
88,122,122,0
89,175,175,0
90,169,169,0
91,207,207,0
92,65,65,0
93,10,10,0
94,227,227,0
95,223,223,0
96,39,39,0
97,253,253,0
98,47,47,0
99,183,183,0
100,240,240,0
101,13,13,0
102,209,209,0
103,212,212,0
104,106,106,0
105,93,93,0
106,48,48,0
107,54,54,0
108,88,88,0
109,21,21,0
110,142,142,0
111,43,43,0
112,47,47,0
113,40,40,0
114,31,31,0
115,134,134,0
116,67,67,0
117,77,77,0
118,211,211,0
119,125,125,0
120,214,214,0
121,2,2,0
122,46,46,0
123,79,79,0
124,87,87,0
125,237,237,0
126,100,100,0
127,157,157,0
128,150,150,0
129,128,128,0
130,156,156,0
131,23,23,0
132,221,221,0
133,99,99,0
134,36,36,0
135,6,6,0
136,184,184,0
137,57,57,0
138,167,167,0
139,176,176,0
140,129,129,0
141,8,8,0
142,45,45,0
143,133,133,0
144,114,114,0
145,101,101,0
146,96,96,0
147,79,79,0
148,139,139,0
149,233,233,0
150,59,59,0
151,22,22,0
152,151,151,0
153,179,179,0
154,14,14,0
155,101,101,0
156,70,70,0
157,58,58,0
158,221,221,0
159,191,191,0
160,93,93,0
161,107,107,0
162,171,171,0
163,211,211,0
164,12,12,0
165,223,223,0
166,68,68,0
167,70,70,0
168,58,58,0
169,184,184,0
170,232,232,0
171,189,189,0
172,170,170,0
173,107,107,0
174,80,80,0
175,217,217,0
176,161,161,0
177,211,211,0
178,64,64,0
179,45,45,0
180,211,211,0
181,238,238,0
182,61,61,0
183,214,214,0
184,29,29,0
185,171,171,0
186,169,169,0
187,124,124,0
188,244,244,0
189,178,178,0
190,17,17,0
191,36,36,0
192,60,60,0
193,18,18,0
194,254,254,0
195,133,133,0
196,153,153,0
197,46,46,0
198,186,186,0
199,14,14,0
200,125,125,0
201,66,66,0
202,151,151,0
203,32,32,0
204,109,109,0
205,168,168,0
206,208,208,0
207,216,216,0
208,44,44,0
209,4,4,0
210,246,246,0
211,136,136,0
212,20,20,0
213,69,69,0
214,147,147,0
215,241,241,0
216,237,237,0
217,207,207,0
218,27,27,0
219,165,165,0
220,68,68,0
221,13,13,0
222,203,203,0
223,103,103,0
224,99,99,0
225,172,172,0
226,36,36,0
227,67,67,0
228,101,101,0
229,229,229,0
