Index,A,B,R
398,178,178,0
399,1,1,0
400,135,135,0
401,85,85,0
402,1,1,0
403,34,34,0
404,92,92,0
405,43,43,0
406,125,125,0
407,186,186,0
408,220,220,0
409,250,250,0
410,148,148,0
411,62,62,0
412,237,237,0
413,246,246,0
414,188,188,0
415,155,155,0
416,248,248,0
417,137,137,0
418,72,72,0
419,245,245,0
420,74,74,0
421,173,173,0
422,255,255,0
423,54,54,0
424,67,67,0
425,50,50,0
426,91,91,0
427,99,99,0
428,157,157,0
429,232,232,0
430,151,151,0
431,226,226,0
432,254,254,0
433,56,56,0
434,68,68,0
435,79,79,0
436,48,48,0
437,88,88,0
438,65,65,0
439,64,64,0
440,198,198,0
441,191,191,0
442,104,104,0
443,67,67,0
444,146,146,0
445,23,23,0
446,247,247,0
447,152,152,0
448,119,119,0
449,135,135,0
450,203,203,0
451,47,47,0
452,14,14,0
453,137,137,0
454,249,249,0
455,128,128,0
456,170,170,0
457,185,185,0
458,71,71,0
459,173,173,0
460,88,88,0
461,105,105,0
462,225,225,0
463,237,237,0
464,3,3,0
465,250,250,0
466,197,197,0
467,249,249,0
468,159,159,0
469,27,27,0
470,80,80,0
471,14,14,0
472,11,11,0
473,222,222,0
474,57,57,0
475,37,37,0
476,109,109,0
477,58,58,0
478,9,9,0
479,74,74,0
480,130,130,0
481,89,89,0
482,147,147,0
483,13,13,0
484,140,140,0
485,23,23,0
486,156,156,0
487,58,58,0
488,188,188,0
489,85,85,0
490,13,13,0
491,240,240,0
492,49,49,0
493,91,91,0
494,39,39,0
495,223,223,0
496,213,213,0
497,247,247,0
498,209,209,0
499,33,33,0
500,142,142,0
501,7,7,0
502,114,114,0
503,139,139,0
504,243,243,0
505,221,221,0
506,164,164,0
507,206,206,0
508,58,58,0
509,21,21,0
510,150,150,0
511,114,114,0
512,225,225,0
513,117,117,0
514,94,94,0
515,27,27,0
516,233,233,0
517,155,155,0
518,232,232,0
519,223,223,0
520,60,60,0
521,50,50,0
522,107,107,0
523,61,61,0
524,236,236,0
525,62,62,0
526,3,3,0
527,243,243,0
528,61,61,0
529,236,236,0
530,90,90,0
531,126,126,0
532,2,2,0
533,100,100,0
534,172,172,0
535,248,248,0
536,97,97,0
537,201,201,0
538,51,51,0
539,185,185,0
540,57,57,0
541,221,221,0
542,188,188,0
543,175,175,0
544,230,230,0
545,155,155,0
546,30,30,0
547,57,57,0
548,208,208,0
549,199,199,0
550,200,200,0
551,178,178,0
552,34,34,0
553,86,86,0
554,239,239,0
555,58,58,0
556,213,213,0
557,76,76,0
558,176,176,0
559,201,201,0
560,75,75,0
561,251,251,0
562,174,174,0
563,208,208,0
564,253,253,0
565,244,244,0
566,166,166,0
567,186,186,0
568,242,242,0
569,91,91,0
570,55,55,0
571,111,111,0
