Index,A,B,R
0,28,28,0
1,120,120,0
2,30,30,0
3,103,103,0
4,140,140,0
5,142,142,0
6,125,125,0
7,74,74,0
8,58,58,0
9,95,95,0
10,177,177,0
11,92,92,0
12,128,128,0
13,173,173,0
14,150,150,0
15,239,239,0
16,146,146,0
17,143,143,0
18,91,91,0
19,140,140,0
20,75,75,0
21,242,242,0
22,231,231,0
23,98,98,0
24,228,228,0
25,38,38,0
26,184,184,0
27,182,182,0
28,32,32,0
29,13,13,0
30,192,192,0
31,73,73,0
32,243,243,0
33,31,31,0
34,21,21,0
35,231,231,0
36,160,160,0
37,192,192,0
38,93,93,0
39,41,41,0
40,245,245,0
41,5,5,0
42,78,78,0
43,45,45,0
44,79,79,0
45,193,193,0
46,217,217,0
47,230,230,0
48,134,134,0
49,118,118,0
50,71,71,0
51,8,8,0
52,198,198,0
53,178,178,0
54,48,48,0
55,175,175,0
56,132,132,0
57,197,197,0
58,136,136,0
59,233,233,0
60,225,225,0
61,231,231,0
62,18,18,0
63,26,26,0
64,226,226,0
65,161,161,0
66,157,157,0
67,184,184,0
68,231,231,0
69,172,172,0
70,152,152,0
71,37,37,0
72,102,102,0
73,3,3,0
74,196,196,0
75,246,246,0
76,10,10,0
77,8,8,0
78,63,63,0
79,92,92,0
80,20,20,0
81,25,25,0
82,131,131,0
83,232,232,0
84,232,232,0
85,215,215,0
86,248,248,0
87,83,83,0
88,84,84,0
89,0,0,0
90,234,234,0
91,87,87,0
92,47,47,0
93,233,233,0
94,204,204,0
95,67,67,0
96,175,175,0
97,232,232,0
98,213,213,0
99,97,97,0
100,243,243,0
101,204,204,0
102,3,3,0
103,244,244,0
104,62,62,0
105,33,33,0
106,39,39,0
107,157,157,0
108,26,26,0
109,185,185,0
110,114,114,0
111,112,112,0
112,33,33,0
113,74,74,0
114,240,240,0
115,206,206,0
116,58,58,0
117,199,199,0
118,157,157,0
119,229,229,0
120,226,226,0
121,30,30,0
122,144,144,0
123,78,78,0
124,29,29,0
125,72,72,0
126,10,10,0
127,57,57,0
128,74,74,0
129,9,9,0
130,251,251,0
131,187,187,0
132,23,23,0
133,35,35,0
134,37,37,0
135,0,0,0
136,202,202,0
137,78,78,0
138,130,130,0
139,216,216,0
140,74,74,0
141,185,185,0
142,21,21,0
143,159,159,0
144,113,113,0
145,102,102,0
146,197,197,0
147,249,249,0
148,239,239,0
149,8,8,0
150,141,141,0
151,20,20,0
152,200,200,0
153,67,67,0
154,195,195,0
155,159,159,0
156,7,7,0
157,12,12,0
158,16,16,0
159,185,185,0
160,9,9,0
161,90,90,0
162,104,104,0
163,111,111,0
164,213,213,0
165,79,79,0
166,63,63,0
167,230,230,0
168,160,160,0
169,91,91,0
170,161,161,0
171,248,248,0
172,75,75,0
173,244,244,0
174,76,76,0
175,143,143,0
176,105,105,0
177,14,14,0
178,135,135,0
179,102,102,0
180,12,12,0
181,6,6,0
182,205,205,0
183,84,84,0
184,80,80,0
185,73,73,0
