Index,A,B,R
0,93,93,0
1,249,249,0
2,180,180,0
3,47,47,0
4,151,151,0
5,0,0,0
6,134,134,0
7,196,196,0
8,56,56,0
9,52,52,0
10,42,42,0
11,248,248,0
12,241,241,0
13,10,10,0
14,137,137,0
15,96,96,0
16,152,152,0
17,206,206,0
18,14,14,0
19,104,104,0
20,104,104,0
21,197,197,0
22,27,27,0
23,83,83,0
24,207,207,0
25,88,88,0
26,155,155,0
27,79,79,0
28,142,142,0
29,16,16,0
30,73,73,0
31,131,131,0
32,73,73,0
33,145,145,0
34,157,157,0
35,230,230,0
36,55,55,0
37,235,235,0
38,123,123,0
39,39,39,0
40,40,40,0
41,2,2,0
42,149,149,0
43,199,199,0
44,48,48,0
45,62,62,0
46,55,55,0
47,134,134,0
48,211,211,0
49,149,149,0
50,163,163,0
51,177,177,0
52,3,3,0
53,77,77,0
54,38,38,0
55,80,80,0
56,24,24,0
57,115,115,0
58,146,146,0
59,98,98,0
60,27,27,0
61,8,8,0
62,29,29,0
63,118,118,0
64,83,83,0
65,104,104,0
66,192,192,0
67,102,102,0
68,88,88,0
69,14,14,0
70,236,236,0
71,3,3,0
72,248,248,0
73,63,63,0
74,8,8,0
75,181,181,0
76,167,167,0
77,194,194,0
78,160,160,0
79,31,31,0
80,172,172,0
81,117,117,0
82,55,55,0
83,177,177,0
84,6,6,0
85,92,92,0
86,194,194,0
87,169,169,0
88,193,193,0
89,125,125,0
90,190,190,0
91,233,233,0
92,120,120,0
93,186,186,0
94,213,213,0
95,213,213,0
96,32,32,0
97,59,59,0
98,44,44,0
99,120,120,0
100,128,128,0
101,64,64,0
102,158,158,0
103,148,148,0
104,74,74,0
105,80,80,0
106,119,119,0
107,132,132,0
108,135,135,0
109,155,155,0
110,105,105,0
111,124,124,0
112,16,16,0
113,134,134,0
114,237,237,0
115,15,15,0
116,35,35,0
117,173,173,0
118,168,168,0
119,235,235,0
120,23,23,0
121,196,196,0
122,6,6,0
123,57,57,0
124,228,228,0
125,233,233,0
126,117,117,0
127,143,143,0
128,92,92,0
129,224,224,0
130,246,246,0
131,172,172,0
132,95,95,0
133,98,98,0
134,75,75,0
135,79,79,0
136,12,12,0
137,237,237,0
138,16,16,0
139,147,147,0
140,244,244,0
141,160,160,0
142,58,58,0
143,106,106,0
144,72,72,0
145,223,223,0
146,238,238,0
147,203,203,0
148,163,163,0
149,95,95,0
150,104,104,0
151,28,28,0
152,214,214,0
153,188,188,0
154,156,156,0
155,16,16,0
156,59,59,0
157,180,180,0
158,179,179,0
159,48,48,0
160,153,153,0
161,115,115,0
162,227,227,0
163,53,53,0
164,178,178,0
165,162,162,0
166,95,95,0
167,241,241,0
168,74,74,0
169,111,111,0
170,89,89,0
171,102,102,0
172,224,224,0
173,0,0,0
174,198,198,0
175,23,23,0
176,83,83,0
177,138,138,0
178,48,48,0
179,189,189,0
180,177,177,0
181,241,241,0
182,152,152,0
183,21,21,0
184,64,64,0
185,152,152,0
186,128,128,0
187,143,143,0
188,217,217,0
189,80,80,0
190,49,49,0
191,47,47,0
192,105,105,0
193,201,201,0
194,4,4,0
195,119,119,0
196,215,215,0
197,225,225,0
198,71,71,0
199,102,102,0
200,100,100,0
201,254,254,0
202,254,254,0
203,118,118,0
204,76,76,0
205,13,13,0
206,224,224,0
207,183,183,0
208,34,34,0
209,91,91,0
210,224,224,0
211,202,202,0
212,52,52,0
213,151,151,0
214,124,124,0
215,59,59,0
216,94,94,0
217,153,153,0
218,93,93,0
219,190,190,0
220,181,181,0
221,137,137,0
222,171,171,0
223,198,198,0
224,232,232,0
225,202,202,0
226,129,129,0
227,174,174,0
228,1,1,0
229,40,40,0
230,130,130,0
231,135,135,0
232,42,42,0
