Index,A,B,R
0,13,13,0
1,114,114,0
2,124,124,0
3,12,12,0
4,92,92,0
5,158,158,0
6,198,198,0
7,241,241,0
8,32,32,0
9,230,230,0
10,207,207,0
11,23,23,0
12,202,202,0
13,10,10,0
14,152,152,0
15,231,231,0
16,230,230,0
17,255,255,0
18,193,193,0
19,203,203,0
20,21,21,0
21,125,125,0
22,199,199,0
23,74,74,0
24,155,155,0
25,89,89,0
26,112,112,0
27,111,111,0
28,47,47,0
29,158,158,0
30,137,137,0
31,18,18,0
32,215,215,0
33,209,209,0
34,156,156,0
35,196,196,0
36,100,100,0
37,10,10,0
38,201,201,0
39,75,75,0
40,236,236,0
41,196,196,0
42,227,227,0
43,255,255,0
44,48,48,0
45,89,89,0
46,171,171,0
47,57,57,0
48,46,46,0
49,42,42,0
50,60,60,0
51,255,255,0
52,211,211,0
53,155,155,0
54,251,251,0
55,132,132,0
56,18,18,0
57,85,85,0
58,238,238,0
59,202,202,0
60,176,176,0
61,1,1,0
62,62,62,0
63,102,102,0
64,130,130,0
65,209,209,0
66,220,220,0
67,35,35,0
68,249,249,0
69,81,81,0
70,190,190,0
71,219,219,0
72,115,115,0
73,133,133,0
74,164,164,0
75,91,91,0
76,26,26,0
77,139,139,0
78,165,165,0
79,51,51,0
80,112,112,0
81,52,52,0
82,3,3,0
83,244,244,0
84,195,195,0
85,42,42,0
86,2,2,0
87,102,102,0
88,218,218,0
89,20,20,0
90,97,97,0
91,136,136,0
92,94,94,0
93,71,71,0
94,106,106,0
95,5,5,0
96,250,250,0
97,5,5,0
98,195,195,0
99,34,34,0
100,59,59,0
101,93,93,0
102,147,147,0
103,148,148,0
104,67,67,0
105,16,16,0
106,96,96,0
107,211,211,0
108,45,45,0
109,112,112,0
110,62,62,0
111,123,123,0
112,100,100,0
113,188,188,0
114,80,80,0
115,44,44,0
116,70,70,0
117,210,210,0
118,192,192,0
119,140,140,0
120,163,163,0
121,6,6,0
122,74,74,0
123,93,93,0
124,240,240,0
125,113,113,0
126,107,107,0
127,121,121,0
128,44,44,0
129,97,97,0
130,58,58,0
131,64,64,0
132,68,68,0
133,160,160,0
134,50,50,0
135,123,123,0
136,207,207,0
137,117,117,0
138,25,25,0
139,130,130,0
140,211,211,0
141,77,77,0
142,136,136,0
143,168,168,0
144,66,66,0
145,53,53,0
146,18,18,0
147,131,131,0
148,72,72,0
149,249,249,0
150,168,168,0
151,80,80,0
152,15,15,0
153,52,52,0
154,205,205,0
155,48,48,0
156,164,164,0
157,88,88,0
158,3,3,0
159,42,42,0
160,112,112,0
161,235,235,0
162,108,108,0
163,223,223,0
164,118,118,0
165,205,205,0
166,52,52,0
167,172,172,0
168,85,85,0
169,232,232,0
170,253,253,0
171,55,55,0
172,44,44,0
173,154,154,0
174,93,93,0
175,2,2,0
176,232,232,0
177,16,16,0
178,193,193,0
179,203,203,0
180,66,66,0
181,98,98,0
182,110,110,0
183,97,97,0
184,158,158,0
185,67,67,0
186,137,137,0
187,160,160,0
188,219,219,0
189,181,181,0
190,214,214,0
191,31,31,0
192,166,166,0
193,124,124,0
194,67,67,0
195,204,204,0
196,83,83,0
197,53,53,0
198,231,231,0
199,231,231,0
200,132,132,0
201,176,176,0
202,54,54,0
203,97,97,0
204,164,164,0
205,114,114,0
206,41,41,0
207,48,48,0
208,81,81,0
209,179,179,0
210,73,73,0
211,188,188,0
212,126,126,0
213,3,3,0
214,189,189,0
215,248,248,0
216,90,90,0
217,174,174,0
218,240,240,0
219,190,190,0
220,53,53,0
221,130,130,0
222,28,28,0
223,198,198,0
224,18,18,0
225,89,89,0
226,191,191,0
227,171,171,0
228,165,165,0
229,39,39,0
230,171,171,0
231,140,140,0
232,65,65,0
233,38,38,0
234,135,135,0
235,236,236,0
236,19,19,0
237,48,48,0
238,99,99,0
239,220,220,0
240,158,158,0
241,212,212,0
242,63,63,0
243,36,36,0
244,6,6,0
245,4,4,0
246,22,22,0
247,79,79,0
248,23,23,0
249,228,228,0
250,169,169,0
251,185,185,0
252,187,187,0
253,52,52,0
254,9,9,0
255,121,121,0
256,166,166,0
257,195,195,0
258,154,154,0
259,72,72,0
260,152,152,0
261,227,227,0
262,215,215,0
263,121,121,0
264,198,198,0
265,167,167,0
266,6,6,0
267,31,31,0
268,220,220,0
269,55,55,0
270,46,46,0
271,23,23,0
272,72,72,0
273,213,213,0
274,164,164,0
275,77,77,0
276,137,137,0
277,165,165,0
278,121,121,0
279,126,126,0
280,33,33,0
281,45,45,0
282,124,124,0
283,242,242,0
284,216,216,0
285,39,39,0
286,172,172,0
287,29,29,0
288,89,89,0
289,7,7,0
290,140,140,0
291,70,70,0
292,80,80,0
293,30,30,0
294,150,150,0
295,77,77,0
296,94,94,0
297,108,108,0
298,105,105,0
299,80,80,0
300,147,147,0
301,219,219,0
302,100,100,0
303,153,153,0
304,141,141,0
305,80,80,0
306,26,26,0
307,150,150,0
308,226,226,0
309,28,28,0
310,224,224,0
311,75,75,0
312,0,0,0
313,184,184,0
314,232,232,0
315,37,37,0
316,140,140,0
317,177,177,0
318,80,80,0
319,21,21,0
320,243,243,0
321,85,85,0
322,142,142,0
323,147,147,0
324,43,43,0
325,218,218,0
326,90,90,0
327,61,61,0
328,112,112,0
329,123,123,0
330,190,190,0
331,200,200,0
332,165,165,0
333,78,78,0
334,254,254,0
335,105,105,0
336,159,159,0
337,54,54,0
338,23,23,0
339,94,94,0
340,149,149,0
341,244,244,0
342,243,243,0
343,173,173,0
344,241,241,0
345,202,202,0
346,59,59,0
347,202,202,0
348,242,242,0
349,128,128,0
350,130,130,0
351,5,5,0
352,45,45,0
353,196,196,0
354,5,5,0
355,150,150,0
356,64,64,0
357,127,127,0
358,133,133,0
359,32,32,0
360,113,113,0
361,239,239,0
362,231,231,0
363,251,251,0
364,158,158,0
365,29,29,0
366,125,125,0
367,105,105,0
368,3,3,0
369,111,111,0
370,137,137,0
371,154,154,0
372,126,126,0
373,135,135,0
374,255,255,0
375,78,78,0
376,132,132,0
377,146,146,0
378,237,237,0
379,140,140,0
380,15,15,0
381,63,63,0
382,114,114,0
383,38,38,0
384,134,134,0
385,218,218,0
386,37,37,0
387,242,242,0
388,51,51,0
389,141,141,0
390,219,219,0
391,197,197,0
392,65,65,0
393,103,103,0
394,211,211,0
395,120,120,0
396,153,153,0
397,101,101,0
398,69,69,0
399,37,37,0
400,130,130,0
401,147,147,0
402,32,32,0
403,167,167,0
404,108,108,0
405,0,0,0
406,212,212,0
407,29,29,0
408,193,193,0
409,177,177,0
410,85,85,0
411,191,191,0
412,126,126,0
413,66,66,0
414,119,119,0
415,139,139,0
416,116,116,0
417,40,40,0
418,142,142,0
419,197,197,0
420,109,109,0
421,253,253,0
422,52,52,0
423,71,71,0
424,133,133,0
425,97,97,0
426,65,65,0
427,66,66,0
428,236,236,0
429,170,170,0
430,52,52,0
431,154,154,0
432,15,15,0
433,20,20,0
434,69,69,0
435,240,240,0
436,67,67,0
437,237,237,0
438,111,111,0
439,2,2,0
440,155,155,0
441,118,118,0
442,69,69,0
443,150,150,0
444,210,210,0
445,68,68,0
446,193,193,0
447,43,43,0
448,4,4,0
449,37,37,0
450,174,174,0
451,31,31,0
452,216,216,0
453,224,224,0
454,130,130,0
455,174,174,0
456,207,207,0
457,143,143,0
458,141,141,0
459,90,90,0
460,134,134,0
461,240,240,0
462,195,195,0
463,181,181,0
464,65,65,0
465,8,8,0
466,180,180,0
467,26,26,0
468,237,237,0
469,22,22,0
470,227,227,0
471,135,135,0
472,103,103,0
473,103,103,0
474,242,242,0
475,49,49,0
476,2,2,0
477,228,228,0
478,198,198,0
479,105,105,0
480,201,201,0
481,143,143,0
482,84,84,0
483,20,20,0
484,222,222,0
485,166,166,0
486,39,39,0
487,169,169,0
488,107,107,0
489,209,209,0
490,207,207,0
491,157,157,0
492,244,244,0
493,161,161,0
494,248,248,0
495,88,88,0
496,194,194,0
497,6,6,0
498,13,13,0
499,1,1,0
500,170,170,0
501,189,189,0
502,236,236,0
503,250,250,0
504,59,59,0
